"Ecosystem service
(n articles, n references)",Ecosystem service category (MEA 2005),"Discussed in peer-reviewed literature? (n articles, n references)","Discussed in newspaper articles? (n articles, n references)",Number of references in the Before articles,Number of references in the After articles,Sample text from academic literature (italics used to indicate most relevant text),"Sample text from newspaper article (Before followed by After, if both available; dates provided) (italics used to indicate most relevant text)",
"Aesthetics (33, 111) ",Cultural,"Yes (13, 40)","Yes (19, 69)",27,42,"""The quality of the landscape of south-east England owes much to its mature trees, and the loss of so many of them on the 16 October had a devastating effect on the appearance and beauty of the countryside."" - Grayson et al. 1988","""In fact he sees no reason whatsoever why we shouldn't all do our bit in bringing more greenery into the urban landscape, even if it's only to plant one tree in our garden to enhance the house in which we live.” - Carol Frost, Apr. 17 1986 (Ashbourne Viewpoint) 

""Hundreds of trees lost including many fine street trees in famous and historic sites. Whitehall, The Mall, The Embankment, Berkeley Square, Soho Square, Park Lane."" - Angus McGill, Nov. 30 1987 (Evening Standard)",
"Tidiness (6, 9)",,"Yes (4, 4)","Yes (2, 5)",0,5,"""Wild nature had intruded upon the ordered sensibilities of South East England."" - Russell, 1998","""The Trust manages the yearly miracle, after leaf-fall, of making thousands of acres of countryside look neat."" - John Cunningham, Oct. 15 1988 (The Guardian)",
"Attachment to place (13, 30)",Cultural,"Yes (5, 13)","Yes (8, 17)",3,14,"""The Royal Botanic Gardens at Kew hold a special place in the lives of a high proportion of members of the ARBORICULTURAL ASSOCIATION. Many received their initial training there, others attended short courses while some went as visitors for no other reason than to enjoy its splendour and the magnificence of the tree collection."" - Hall 1987","""And consider the effects not on landscapes but on lives. There are still regular visitors – old people, mostly – who can’t face going back to see the upheaval at showplaces such as Sheffield Park in East Sussex."" - John Cunningham, Oct. 15 1988 (The Guardian)",
"Heritage (21, 57)",Cultural,"Yes (7, 23)","Yes (14, 34) ",8,26,"""Many of the 500-plus trees brought down were of great scientific or historical interest: oaks planted by Queen Charlotte 200 years ago were felled, as was a rare black walnut planted by Queen Elizabeth in 1959."" - Pritchard 2012","""DORSET: Kingston Lacy, 20 ancient trees lost; Panthill Green, the oaks damaged; Tolpuddle, the 250-year-old Martyrs’ Tree, a sycamore, has been split and needs urgent repair."" - Nov. 13 1987 (The Daily Telegraph)",
"Myths, legends, and fairy tales (1, 7) ",Cultural,"Yes (7, 1)",No,NA,NA,"""This is the realm of the will-o-the-whisp; the Snark that can turn out to be a Boojum; the half remembered, half understood elements of magic and fantasy: elusive, never constant, always changing shape. It is nevertheless a way of approaching the numinous quality in Nature which is part of the reality most of us acknowledge."" - Russell 1998",NA,
"Recreation (10, 24)",Cultural,"Yes (5, 10)","Yes (5, 14)",1,13,"""There is continuous and developing pressure by the general public to use woodlands for enjoyment and recreation. The demand is underpinned and maintained by having London on the doorstep of the Chilterns, and several large towns in the hills themselves and centres like Oxford, Aylesbury and Milton Keynes (see Fig. 1). Any organized activity develops its own association, club or society, which acts as a pressure group to maintain and improve the facilities for its members."" - Tilney-Bassett 1988","""In 1957, Thomas Edward gave 2,000 acres of land to be managed as a nature reserve or access land. It now forms a major part of the area designated as Cannock Chase Country park.""  - Nov. 8 1982 (Evening Sentinel)

""Thousands of miles of footpaths and bridleways plus thousands of acres of public woodland are expected to take months to clear. Since open spaces are heavily damaged the public are urged to take particular care here and especially discourage children from playing on broken trees and branches."" - Oct. 29 1987 (Leatherhead)",
"Religion and sacredness (6,10)",Cultural,"Yes  (1, 3)","Yes (4, 6)",6,0,"""The tree has figured in many myths and even in a sceptical age like ours, the tree is still brought into the house and decorated at Christmas; it is also venerated in tree dressing ceremonies."" - Russell 1998","""Trees are a lovely part of God’s creation, and they deserve to be treated as such."" - Haydn Thomas, May 28 1987 (Post & Times)",
"Sport hunting (4, 5)",Cultural,"Yes (3, 4)","Yes (1, 1)",0,1,"""One reason for the large quantity of mature timber is that timber production is often a minor objective of woodland owners in south and east England, while sporting values and the environmental benefits of woodland figure much more highly than elsewhere, so leading owners to retain trees past maturity."" - Grayson et al. 1987","""Game keepers are still grousing. Their income has fallen because they used to be paid according to the numbers of game birds shot and the storm unsportingly blew their cover."" - John Cunningham, Oct. 15 1988 (The Guardian)",
"Fuel wood (2, 3)",Provisioning,"Yes (1, 2)","Yes (1, 1)",0,1,"""Firewood is an increasingly important market, especially for early hardwood thinnings and the disposal of lop and top."" - Tiney-Bassett 1988","""As for the stricken and unsaleable wood, maybe Kent will again become a county of charcoal-burners."" - John Cunningham, Oct. 15 1988 (The Guardian)",
"Timber (15, 146)",Provisioning,"Yes (11, 136)","Yes (4, 10)",2,8,"""Only 7 species were recorded in 1988 and most were timber species (Table 1). The apparent lack of species present in 1988 probably reflects not only the difficulty of finding small seedlings of species such as birch and willow during their first growing season, but also the interest in mainstream forestry species that prevailed at the time, which may have lead to the under-recording of minor species."" - Harmer et al. 2004","""Now the Forestry Commission finds itself quite profitably with the job of satisfying the demand that has grown and grown since Prince Albert imported the very first Christmas tree from his homeland."" - Nov. 7 1983 (The Journal)

""Surprisingly, timber from fallen trees do not now grace furniture showrooms and living rooms but had to be burned. Tree manager David Frost said: 'There was such a glut of timber, merchants were very choosey and did not take our trees because many were damaged by their falls and because of the shrapnel.'"" - Oct. 14 1988 (The Gazette)",
